OBJECTID,scientific,family,date,OBJECTID_1,gno,Shape_Length,Shape_Area,geometry
1125,Aethriamanta brevipennis,Libellulidae,2024-6-4,454126,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1126,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454127,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1127,Aethriamanta brevipennis,Libellulidae,2024-6-4,454128,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1128,Aethriamanta brevipennis,Libellulidae,2024-6-4,454129,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1129,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454130,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1130,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454131,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1131,Pseudagrion microcephalum,Coenagrionidae,2024-4-9,454132,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1132,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454133,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1133,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454134,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1134,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454135,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1135,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454136,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1136,Pseudagrion microcephalum,Coenagrionidae,2024-4-9,454137,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1137,Aethriamanta brevipennis,Libellulidae,2024-5-7,454138,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1138,Aethriamanta brevipennis,Libellulidae,2024-5-7,454139,931,0.037493290261359884,8.7741577612129e-05,"[[[114.009088381, 22.472434184, 0], [114.009099253, 22.463403795, 0], [114.01881518, 22.463413604, 0], [114.018804938, 22.472443999, 0], [114.009088381, 22.472434184, 0]]]"
1139,Pseudagrion microcephalum,Coenagrionidae,2024-4-9,454140,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1140,Pseudagrion microcephalum,Coenagrionidae,2024-4-9,454141,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1141,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454142,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1142,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454143,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1143,Urothemis signata signata,Libellulidae,2024-4-9,454144,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1144,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454145,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1145,Neurothemis tullia tullia,Libellulidae,2024-4-9,454146,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1146,Neurothemis tullia tullia,Libellulidae,2024-4-9,454147,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1147,Neurothemis tullia tullia,Libellulidae,2024-6-4,454148,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1148,Neurothemis tullia tullia,Libellulidae,2024-6-4,454149,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1149,Neurothemis tullia tullia,Libellulidae,2024-6-4,454150,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1150,Neurothemis tullia tullia,Libellulidae,2024-6-4,454151,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1151,Neurothemis tullia tullia,Libellulidae,2024-6-4,454152,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1152,Tholymis tillarga,Libellulidae,2024-6-4,454153,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1153,Tholymis tillarga,Libellulidae,2024-4-9,454154,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1154,Neurothemis tullia tullia,Libellulidae,2024-4-9,454155,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1155,Neurothemis tullia tullia,Libellulidae,2024-4-9,454156,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1156,Pseudothemis zonata,Libellulidae,2024-5-7,454157,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1157,Neurothemis tullia tullia,Libellulidae,2024-5-7,454158,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1158,Tholymis tillarga,Libellulidae,2024-5-7,454159,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1159,Orthetrum chrysis,Libellulidae,2024-5-7,454160,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1160,Tholymis tillarga,Libellulidae,2024-5-7,454161,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1161,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454162,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1162,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454163,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1163,Urothemis signata signata,Libellulidae,2024-4-9,454164,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1164,Urothemis signata signata,Libellulidae,2024-4-9,454165,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1165,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-4-9,454166,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1166,Orthetrum glaucum,Libellulidae,2024-6-13,454167,2610,0.03746371343409561,8.760819133847163e-05,"[[[113.99964624, 22.255691769, 0], [113.9996576, 22.246661143, 0], [114.009358505, 22.246671426, 0], [114.009347767, 22.255702057, 0], [113.99964624, 22.255691769, 0]]]"
1167,Orthetrum glaucum,Libellulidae,2024-6-13,454168,2608,0.03746367524612792,8.760801300134419e-05,"[[[113.980243203, 22.255669456, 0], [113.980255808, 22.24663884, 0], [113.989956701, 22.246650281, 0], [113.989944718, 22.255680902, 0], [113.980243203, 22.255669456, 0]]]"
1168,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-3-21,454169,809,0.03749591413204792,8.775343348075633e-05,"[[[114.183987884, 22.490582099, 0], [114.18398742, 22.48155169, 0], [114.193704653, 22.481550966, 0], [114.193705747, 22.490581375, 0], [114.183987884, 22.490582099, 0]]]"
1169,Orthetrum glaucum,Libellulidae,2024-6-13,454170,2539,0.03746492028729469,8.76136309876528e-05,"[[[113.98993273, 22.264711513, 0], [113.989944718, 22.255680902, 0], [113.99964624, 22.255691769, 0], [113.999634874, 22.264722385, 0], [113.98993273, 22.264711513, 0]]]"
1170,Pseudagrion microcephalum,Coenagrionidae,2024-6-4,454171,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1171,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454172,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1172,Pseudagrion microcephalum,Coenagrionidae,2024-6-4,454173,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1173,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454174,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1174,Aethriamanta brevipennis,Libellulidae,2024-6-4,454175,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1175,Pseudagrion microcephalum,Coenagrionidae,2024-6-4,454176,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1176,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454177,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1177,Aethriamanta brevipennis,Libellulidae,2024-6-4,454178,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1178,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454179,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1179,Ceriagrion auranticum ryukyuanum,Coenagrionidae,2024-6-4,454180,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1180,Tholymis tillarga,Libellulidae,2024-4-9,454181,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1181,Neurothemis tullia tullia,Libellulidae,2024-4-9,454182,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1182,Neurothemis tullia tullia,Libellulidae,2024-4-9,454183,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1183,Tholymis tillarga,Libellulidae,2024-4-9,454184,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1184,Tholymis tillarga,Libellulidae,2024-4-9,454185,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1185,Neurothemis tullia tullia,Libellulidae,2024-4-9,454186,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1186,Neurothemis tullia tullia,Libellulidae,2024-4-9,454187,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1187,Orthetrum chrysis,Libellulidae,2024-6-13,454188,2539,0.03746492028729469,8.76136309876528e-05,"[[[113.98993273, 22.264711513, 0], [113.989944718, 22.255680902, 0], [113.99964624, 22.255691769, 0], [113.999634874, 22.264722385, 0], [113.98993273, 22.264711513, 0]]]"
1188,Orthetrum chrysis,Libellulidae,2024-6-13,454189,2678,0.03746245221476179,8.760249733063612e-05,"[[[113.980255808, 22.24663884, 0], [113.980268405, 22.237608214, 0], [113.989968677, 22.23761965, 0], [113.989956701, 22.246650281, 0], [113.980255808, 22.24663884, 0]]]"
1189,Orthetrum chrysis,Libellulidae,2024-6-4,454190,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1190,Pseudothemis zonata,Libellulidae,2024-6-4,454191,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1191,Neurothemis tullia tullia,Libellulidae,2024-6-4,454192,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1192,Orthetrum chrysis,Libellulidae,2024-6-4,454193,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1193,Tholymis tillarga,Libellulidae,2024-6-4,454194,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1194,Pseudothemis zonata,Libellulidae,2024-6-4,454195,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1195,Tholymis tillarga,Libellulidae,2024-6-4,454196,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1196,Tholymis tillarga,Libellulidae,2024-6-4,454197,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1197,Neurothemis tullia tullia,Libellulidae,2024-6-4,454198,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1198,Neurothemis tullia tullia,Libellulidae,2024-6-4,454199,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1199,Brachythemis contaminata,Libellulidae,2024-4-9,454200,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1200,Brachythemis contaminata,Libellulidae,2024-4-9,454201,860,0.037494513017661296,8.774708903112566e-05,"[[[113.999360322, 22.48145416, 0], [113.999371829, 22.472423785, 0], [114.009088381, 22.472434184, 0], [114.009077503, 22.481464564, 0], [113.999360322, 22.48145416, 0]]]"
1201,Ischnura senegalensis,Coenagrionidae,2024-4-9,454202,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1202,Brachythemis contaminata,Libellulidae,2024-4-9,454203,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1203,Brachythemis contaminata,Libellulidae,2024-4-9,454204,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1204,Ischnura senegalensis,Coenagrionidae,2024-4-9,454205,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1205,Ischnura senegalensis,Coenagrionidae,2024-4-9,454206,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1206,Ischnura senegalensis,Coenagrionidae,2024-4-9,454207,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1207,Zygonyx iris insignis,Libellulidae,2024-6-13,454208,2608,0.03746367524612792,8.760801300134419e-05,"[[[113.980243203, 22.255669456, 0], [113.980255808, 22.24663884, 0], [113.989956701, 22.246650281, 0], [113.989944718, 22.255680902, 0], [113.980243203, 22.255669456, 0]]]"
1208,Asiagomphus hainanensis,Gomphidae,2024-3-12,454209,1569,0.03748226904076983,8.769189262860303e-05,"[[[114.086873367, 22.391222185, 0], [114.086879174, 22.382191676, 0], [114.096589482, 22.382196784, 0], [114.096584302, 22.391227295, 0], [114.086873367, 22.391222185, 0]]]"
1209,Idionyx victor,Synthemistidae,2024-3-21,454210,809,0.03749591413204792,8.775343348075633e-05,"[[[114.183987884, 22.490582099, 0], [114.18398742, 22.48155169, 0], [114.193704653, 22.481550966, 0], [114.193705747, 22.490581375, 0], [114.183987884, 22.490582099, 0]]]"
1210,Idionyx victor,Synthemistidae,2024-3-21,454211,810,0.03749591340733854,8.775342990363645e-05,"[[[114.193705747, 22.490581375, 0], [114.193704653, 22.481550966, 0], [114.203421886, 22.481549657, 0], [114.20342361, 22.490580065, 0], [114.193705747, 22.490581375, 0]]]"
1211,Orthetrum pruinosum neglectum,Libellulidae,2024-6-13,454212,2539,0.03746492028729469,8.76136309876528e-05,"[[[113.98993273, 22.264711513, 0], [113.989944718, 22.255680902, 0], [113.99964624, 22.255691769, 0], [113.999634874, 22.264722385, 0], [113.98993273, 22.264711513, 0]]]"
1212,Orthetrum triangulare triangulare,Libellulidae,2024-6-13,454213,2539,0.03746492028729469,8.76136309876528e-05,"[[[113.98993273, 22.264711513, 0], [113.989944718, 22.255680902, 0], [113.99964624, 22.255691769, 0], [113.999634874, 22.264722385, 0], [113.98993273, 22.264711513, 0]]]"
1213,Idionyx victor,Synthemistidae,2024-3-12,454214,1569,0.03748226904076983,8.769189262860303e-05,"[[[114.086873367, 22.391222185, 0], [114.086879174, 22.382191676, 0], [114.096589482, 22.382196784, 0], [114.096584302, 22.391227295, 0], [114.086873367, 22.391222185, 0]]]"
1214,Asiagomphus hainanensis,Gomphidae,2024-3-12,454215,1569,0.03748226904076983,8.769189262860303e-05,"[[[114.086873367, 22.391222185, 0], [114.086879174, 22.382191676, 0], [114.096589482, 22.382196784, 0], [114.096584302, 22.391227295, 0], [114.086873367, 22.391222185, 0]]]"
1215,Ictinogomphus pertinax,Gomphidae,2024-6-4,454216,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1216,Orthetrum pruinosum neglectum,Libellulidae,2024-6-4,454217,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1217,Ischnura senegalensis,Coenagrionidae,2024-6-4,454218,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
1218,Brachythemis contaminata,Libellulidae,2024-6-4,454219,930,0.037493272995065365,8.774149660486462e-05,"[[[113.999371829, 22.472423785, 0], [113.999383331, 22.4633934, 0], [114.009099253, 22.463403795, 0], [114.009088381, 22.472434184, 0], [113.999371829, 22.472423785, 0]]]"
